name,entity_type,validators,effective_balance_gwei,share
NO - 0x16a2b3134a136ec9e317dc6fecae0666f08452f6,None,117,3744000000000,0.000049113151
NO - 0x3dc0f51f79b115c9755b51642ab73840b5a46f22,None,114,3648000000000,0.000047853839
NO - 0x4f9daffa3ab242ea906f6674953e42758f0597b9,None,114,3648000000000,0.000047853839
NO - 0x82ed7b4d62b6f1e297ed1cc598b42d61c89ea791,None,112,3584000000000,0.000047014298
NO - 0x610cc3d65661beb71fedf3ed14b2989ca972cf52,None,112,3584000000000,0.000047014298
CSM Operator 205,None,111,3552000000000,0.000046594528
NO - 0xc36bf13b69bcaeed8bc73ac7cd28fd2fb084f256,None,111,3552000000000,0.000046594528
NO - 0xfde82ea5f35755144b9d0ec901832704cb2164f2,None,110,3520000000000,0.000046174757
NO - 0x4ac235bf6df01b9bf0789285bd6d02376b94eb2c,None,110,3520000000000,0.000046174757
NO - 0x6a87b5c22305e44ecf0ee571c3e604e98c8d7d60,None,109,3488000000000,0.000045754987
NO - 0x0d9fbd3502f0f5060e5a6c958f7b3f9082c16dd4,None,109,3488000000000,0.000045754987
NO - 0xb443780f8824b82d005c3264462566062f435254,None,108,3456000000000,0.000045335216
NO - 0x83ad4742d56690dcd62b32ec3baade0a5a7ffc7d,None,108,3456000000000,0.000045335216
NO - 0xd09cdcb8c0252c39ee269044c69279de5b37386a,None,108,3456000000000,0.000045335216
NO - 0x2eed83108068eb5c74c4ef02f3cb3d9c2155cf6a,None,107,3424000000000,0.000044915446
NO - 0x42bb2a9c7f94c60e8cd016f9659b6cf867c33387,None,105,3360000000000,0.000044075905
NO - 0xd7751a57b1149c2b24302f3a3cb27568982e2481,None,105,3360000000000,0.000044075905
NO - 0xd9c2d5c041ad53b8b0d70968da88ecbf5e973cd3,None,105,3360000000000,0.000044075905
NO - 0x4310b536da9803ca523c13c8af1f06cd7f4ebf92,None,104,3328000000000,0.000043656134
NO - 0x13ea24536d08b7f552763f233cc544ad669d9238,None,103,3296000000000,0.000043236364
NO - 0x42562acf058acd039261566488169c96a4836155,None,102,3264000000000,0.000042816593
NO - 0x71dd99490c5e36a22b2a73f31225fa5fa40223d1,None,100,3200000000000,0.000041977052
CSM Operator 404,None,100,3200000000000,0.000041977052
CSM Operator 400,None,100,3200000000000,0.000041977052
NO - 0x43e304ef672a38ead0871ec4785cbdc3c51bca3b,None,100,3200000000000,0.000041977052
NO - 0x7af638c962f7c427cfd1ec42c1e32f1c618aacc2,None,100,3200000000000,0.000041977052
